file,task_type,n_ops,num_steps,seed,num_modes,entropy,collapse_time,superposition_score,trajectory_length
track_n48_ns64_init0.npy,track,48,64,0,3,0.7122873663902283,9,0.8241759236323112,64
track_n48_ns64_init1.npy,track,48,64,1,3,0.7088710069656372,9,0.8226210985792946,64
track_n48_ns64_init2.npy,track,48,64,2,3,0.7252633571624756,10,0.830081741425635,64
track_n4_ns64_init2.npy,track,4,64,2,3,0.6583820581436157,9,0.7996425334603293,64
track_n4_ns64_init1.npy,track,4,64,1,3,0.6756339073181152,9,0.8074942426400548,64
track_n4_ns64_init0.npy,track,4,64,0,3,0.7237855195999146,9,0.8294089858021649,64
local_n48_ns64_init2.npy,local,48,64,2,3,0.5840606093406677,10,0.7658174386747243,64
local_n48_ns64_init1.npy,local,48,64,1,3,0.5725540518760681,10,0.76058060581811,64
local_n48_ns64_init0.npy,local,48,64,0,3,0.5435270667076111,10,0.7473698284253447,64
track_n24_ns16_init2.npy,track,24,16,2,3,0.9098008275032043,9,0.9140682550599724,16
track_n48_ns16_init2.npy,track,48,16,2,1,0.0,10,0.8783889860961496,16
track_n24_ns16_init1.npy,track,24,16,1,3,0.7029222249984741,9,0.8199136912307134,16
track_n48_ns16_init0.npy,track,48,16,0,3,0.8314046263694763,9,0.8783885520602635,16
track_n48_ns16_init1.npy,track,48,16,1,3,0.7028968334197998,9,0.8199021350252458,16
track_n24_ns16_init0.npy,track,24,16,0,3,0.70292729139328,9,0.8199159970463583,16
